id,name,url,category,collection,collection_id,description,price,currency,published_at,tags,image_url,likes_count,is_free,status
155121,Krizhnev Arquebus Units,https://www.myminifactory.com/object/3d-print-krizhnev-arquebus-units-155121,Fantasy,Krishnev Army (9th Age / WP),1522986,https://www.patreon.com/Kyoushuneko_Miniatures,9.99,USD,2021-02-22T09:14:41+00:00,"dragon, dungeons, historical, wargaming, rifle, Range, flintlock, DnD, musket, rifleman, KoW, Arquebus",https://dl2.myminifactory.com/object-assets/6030dd3a3c866/images/720X720-b.jpg,57,False,approved
155119,Krizhnev Pole Arm Units,https://www.myminifactory.com/object/3d-print-krizhnev-pole-arm-units-155119,Fantasy,Krishnev Army (9th Age / WP),1522986,https://www.patreon.com/Kyoushuneko_Miniatures,9.99,USD,2021-02-22T09:14:45+00:00,"axe, human, modular, spear, wargaming, DnD, halberd, 9thAge, PIKE, Sigmar, spearmen, Kislev",https://dl2.myminifactory.com/object-assets/6030dcad274e9/images/720X720-c.jpg,46,False,approved
155117,Ice Witch Queen,https://www.myminifactory.com/object/3d-print-ice-witch-queen-155117,Fantasy,Krishnev Army (9th Age / WP),1522986,https://www.patreon.com/Kyoushuneko_Miniatures,5.99,USD,2021-02-22T09:14:50+00:00,"warrior, blade, Witch, ice, Mage, chaos, DnD, swordsman, Sigmar, Kislev",https://dl2.myminifactory.com/object-assets/6030dbb018da8/images/720X720-d.jpg,25,False,approved
155113,Krizhnev Command Group,https://www.myminifactory.com/object/3d-print-krizhnev-command-group-155113,Fantasy,Krishnev Army (9th Age / WP),1522986,https://www.patreon.com/Kyoushuneko_Miniatures,5.99,USD,2021-02-22T09:14:54+00:00,"dragon, war, Kings, dungeon, north, DnD, 9thAge, Sigmar, KoW, northern, Kizlev",https://dl2.myminifactory.com/object-assets/6030d8c82f639/images/720X720-e.jpg,40,False,approved
154610,Black Orc Command Group,https://www.myminifactory.com/object/3d-print-black-orc-command-group-154610,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,5.99,USD,2021-02-18T09:09:22+00:00,"black, dragon, dungeons, orc, warrior, captain, musician, DnD, group, command, flagbearer",https://dl2.myminifactory.com/object-assets/602d2becd65b7/images/720X720-4-command-group.jpg,49,False,approved
154608,Black Orc Melee Units,https://www.myminifactory.com/object/3d-print-black-orc-melee-units-154608,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,9.99,USD,2021-02-18T09:09:23+00:00,"axe, black, dragon, dungeons, fighter, orc, shield, warrior",https://dl2.myminifactory.com/object-assets/602d29aa76d3e/images/720X720-7-black-orc-warriors.jpg,113,False,approved
154605,Black Orc Rhino Mount,https://www.myminifactory.com/object/3d-print-black-orc-rhino-mount-154605,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,14.99,USD,2021-02-18T09:09:26+00:00,"dragon, dungeons, mount, orc, rhino, KoW",https://dl2.myminifactory.com/object-assets/602d23907ec5a/images/720X720-5-black-orc-riders.jpg,65,False,approved
154603,Warboss Rhino Mount,https://www.myminifactory.com/object/3d-print-warboss-rhino-mount-154603,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,5.99,USD,2021-02-18T09:09:30+00:00,"animal, dragon, dungeons, mount, orc, companion, rhino, DnD, KoW",https://dl2.myminifactory.com/object-assets/602d2254398dc/images/720X720-3-warboss-mount.jpg,45,False,approved
154602,Black Orc Warboss,https://www.myminifactory.com/object/3d-print-black-orc-warboss-154602,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,3.99,USD,2021-02-18T09:09:31+00:00,"black, dragon, dungeons, fighter, orc, warrior, KoW, Warboss",https://dl2.myminifactory.com/object-assets/602d216eafbcb/images/720X720-2-warboss2.jpg,75,False,approved
154601,Black Orc Warboss Rider,https://www.myminifactory.com/object/3d-print-black-orc-warboss-rider-154601,Fantasy,Green Skins Army,1092313,https://www.patreon.com/Kyoushuneko_Miniatures,6.99,USD,2021-02-18T09:09:32+00:00,"axe, boss, dragon, dungeons, monster, orc, war, warrior, rhino, rider, bandit, DnD, KoW, Warboss",https://dl2.myminifactory.com/object-assets/602d20a74da91/images/720X720-1-warboss.jpg,48,False,approved
